City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,saldanha,-33.0117,17.9442,13.03,78,82,4.49,ZA,1686589946
118,port elizabeth,-33.918,25.5701,15.16,76,20,9.77,ZA,1686589947
119,keflavik,64.0049,-22.5624,10.24,66,75,5.14,IS,1686589947
120,tawau,4.2498,117.8871,26.26,86,23,1.16,MY,1686589947
121,farafangana,-22.8167,47.8333,21.51,87,1,3.62,MG,1686589947
122,ust-nera,64.5667,143.2,14.12,94,100,2.85,RU,1686589948
123,namibe,-15.1961,12.1522,19.31,67,8,3.88,AO,1686589948
124,yass,-34.8333,148.9167,8.14,99,50,0.52,AU,1686589872
125,paragominas,-2.9667,-47.4833,31.89,54,42,1.96,BR,1686589948
126,amga,60.8953,131.9608,8.3,62,100,3.51,RU,1686589948
127,dadukou,26.5479,101.7054,16.77,95,99,0.42,CN,1686589949
128,arawa,-6.2132,155.5367,24.65,90,73,1.56,PG,1686589949
129,vilyuchinsk,52.9306,158.4028,9.5,66,0,3.81,RU,1686589949
130,minas de marcona,-15.2119,-75.1103,16.72,63,49,7.59,PE,1686589950
131,chonchi,-42.6128,-73.8092,7.56,74,11,1.67,CL,1686589951
132,westport,41.1415,-73.3579,25.74,74,75,5.14,US,1686589820
133,ilheus,-14.7889,-39.0494,27.42,60,6,2.94,BR,1686589951
134,alofi,-19.0595,-169.9187,22.94,94,75,2.06,NU,1686589951
135,susanville,40.4163,-120.653,19.34,61,100,0.89,US,1686589952
136,codrington,-38.2667,141.9667,11.84,66,94,7.69,AU,1686589952
137,punta arenas,-53.15,-70.9167,8.01,70,20,9.77,CL,1686589952
138,palmer,42.1584,-72.3287,27.54,52,75,5.66,US,1686589952
139,severo-yeniseyskiy,60.3725,93.0408,8.53,64,22,2.58,RU,1686589952
140,salmon arm,50.6998,-119.3024,26.91,48,4,0.51,CA,1686589400
141,zhaoqing,23.0512,112.4597,29.9,71,89,0.52,CN,1686589953
142,thompson,55.7435,-97.8558,11.09,82,75,5.66,CA,1686589953
143,kayangel,8.0823,134.7173,28.19,80,91,4.74,PW,1686589953
144,sisimiut,66.9395,-53.6735,0.94,83,50,11.15,GL,1686589953
145,portland,45.5234,-122.6762,24.49,66,40,2.57,US,1686589689
146,port lincoln,-34.7333,135.8667,13.46,68,43,10.2,AU,1686589954
147,sucua,-2.4667,-78.1667,28.41,61,20,4.12,EC,1686589954
148,wailua homesteads,22.0669,-159.378,22.44,92,100,5.66,US,1686589954
149,katsuura,35.1333,140.3,21.4,93,96,2.9,JP,1686589955
150,college,64.8569,-147.8028,14.21,57,75,5.66,US,1686589955
151,sinop,41.7711,34.8709,16.16,98,99,1.24,TR,1686589955
152,zhezqazghan,47.7833,67.7667,24.37,26,2,4.89,KZ,1686589955
153,kirakira,-10.4544,161.9205,26.04,87,20,2.93,SB,1686589956
154,petropavlovsk-kamchatsky,53.0452,158.6483,9.19,71,0,4.38,RU,1686589956
155,ta`u,-14.2336,-169.5144,27.56,76,45,9.31,AS,1686589956
156,nadi,-17.8,177.4167,21.0,88,20,2.06,FJ,1686589956
157,aykhal,66.0,111.5,6.61,57,52,4.16,RU,1686589956
158,morehead city,34.7229,-76.726,29.01,85,100,7.72,US,1686589791
159,al ghayzah,16.2079,52.176,29.93,80,100,5.3,YE,1686589957
160,castillos,-34.1667,-53.8333,12.77,51,11,5.85,UY,1686589957
161,abeche,13.8292,20.8324,34.34,29,79,4.15,TD,1686589958
162,amahai,-3.3333,128.9167,27.78,90,96,2.32,ID,1686589958
163,jean-rabel,19.8533,-73.1917,30.87,60,33,0.77,HT,1686589958
164,bamboo flat,11.7,92.7167,27.89,84,92,7.74,IN,1686589958
165,bel ombre,-4.6167,55.4167,26.91,74,20,7.72,SC,1686589958
166,saint-philippe,-21.3585,55.7679,22.77,82,29,2.76,RE,1686589959
167,datca,36.7378,27.6842,22.86,72,3,5.41,TR,1686589959
168,huarmey,-10.0681,-78.1522,24.19,63,53,5.63,PE,1686589959
169,dikhil,11.5,42.1667,32.82,26,84,2.89,DJ,1686589959
170,betio village,1.358,172.9211,28.02,77,63,5.44,KI,1686589959
171,papatowai,-46.5619,169.4708,9.98,91,88,4.29,NZ,1686589960
172,plastun,44.7561,136.2939,11.77,99,49,1.97,RU,1686589960
173,toliara,-23.35,43.6667,20.84,75,0,1.7,MG,1686589960
174,west island,-12.1568,96.8225,26.99,78,75,9.42,CC,1686589960
175,badger,64.8,-147.5333,14.17,54,75,5.66,US,1686589961
176,boende,-0.2167,20.8667,24.92,77,99,1.37,CD,1686589961
177,island harbour,50.724,-1.2758,24.46,80,22,1.34,GB,1686589961
178,guerrero negro,27.9769,-114.0611,19.52,65,4,7.1,MX,1686589961
179,al burayqah,30.4062,19.5739,22.75,75,0,9.15,LY,1686589962
180,tierp,60.3427,17.5181,24.42,19,76,3.62,SE,1686589962
181,luanda,-8.8368,13.2343,24.0,83,75,5.66,AO,1686589962
182,key west,24.5557,-81.7826,31.0,72,20,5.14,US,1686589894
183,utrik,11.2278,169.8474,27.7,79,73,8.65,MH,1686589962
184,georgetown,5.4112,100.3354,30.96,70,20,3.6,MY,1686589814
185,laguna,38.421,-121.4238,19.47,68,100,5.66,US,1686589963
186,kolonia,50.9333,6.95,28.84,28,0,4.63,DE,1686589963
187,avarua,-21.2078,-159.775,21.03,100,99,1.54,CK,1686589963
188,happy valley-goose bay,53.3168,-60.3315,20.17,45,40,2.57,CA,1686589964
189,abalak,58.1286,68.5944,7.04,70,63,0.3,RU,1686589964
190,aitape,-3.1374,142.3475,25.78,87,71,2.46,PG,1686589964
191,illizi,26.4833,8.4667,40.89,8,0,5.86,DZ,1686589964
